NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
         Department of Veterans Affairs, 25 , 27 , 27 , 28 , 29 , 30 , 31 , 32 , 34 , 39 , 41 , 48 , 59 , 70 , 80 , 100 , 129 , 123 , 148 , 154 , 173 , 195 , 224 , 248 , 268 , 277 , 318 , 354 , 376 , 382 , 419 , 471 , 510 , 574 , 642 , 698 , 810 , 881 , 988 ," 1,092 "," 1,307 "," 1,534 "," 1,757 "," 2,179 "," 2,386 "," 2,503 "," 2,700 "," 3,383 "," 4,305 "," 5,302 "," 5,779 "," 6,369 "," 6,567 "," 7,217 "," 7,924 "," 9,938 "," 10,871 "," 11,966 "," 13,927 "," 16,346 "
     Other Third Party Payers and Programs, 449 , 494 , 539 , 582 , 643 , 709 , 745 , 781 , 808 , 824 , 983 ," 1,127 "," 1,282 "," 1,507 "," 1,806 "," 2,439 "," 2,712 "," 3,148 "," 3,710 "," 4,445 "," 5,401 "," 6,438 "," 7,151 "," 8,165 "," 9,619 "," 11,661 "," 13,521 "," 15,774 "," 18,304 "," 20,442 "," 22,685 "," 24,907 "," 27,383 "," 28,862 "," 29,742 "," 31,291 "," 32,460 "," 34,192 "," 39,344 "," 40,433 "," 39,951 "," 42,056 "," 43,336 "," 46,142 "," 49,013 "," 50,531 "," 52,801 "," 55,801 "," 57,769 "," 56,734 "," 58,148 "," 58,210 "," 62,520 "," 66,451 "," 68,078 "," 75,858 "," 84,036 "," 89,801 "," 91,249 "," 92,145 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 113 , 120 , 131 , 146 , 169 , 197 , 220 , 228 , 255 , 290 , 330 , 374 , 437 , 511 , 602 , 712 , 858 ," 1,062 "," 1,361 "," 1,790 "," 2,268 "," 2,990 "," 3,586 "," 4,241 "," 5,269 "," 6,608 "," 7,779 "," 9,185 "," 10,643 "," 11,983 "," 12,930 "," 14,204 "," 15,747 "," 17,003 "," 18,400 "," 19,984 "," 21,394 "," 22,817 "," 27,273 "," 27,547 "," 26,292 "," 26,870 "," 27,525 "," 29,258 "," 31,909 "," 33,214 "," 35,699 "," 38,075 "," 39,092 "," 38,476 "," 39,601 "," 38,359 "," 41,968 "," 45,614 "," 46,808 "," 54,235 "," 62,219 "," 67,801 "," 68,387 "," 68,960 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 41 , 56 , 65 , 79 , 99 , 130 , 149 , 143 , 144 , 168 , 190 , 195 , 213 , 232 , 228 , 277 , 333 , 396 , 408 , 410 , 454 , 448 , 480 , 479 , 494 , 534 , 587 , 594 , 642 , 676 , 678 , 698 , 706 , 746 , 834 , 937 , 955 , 983 , 958 , 994 , 995 ," 1,022 "," 1,031 "," 1,070 "," 1,114 "
         Workers' Compensation, 252 , 267 , 288 , 305 , 328 , 348 , 393 , 443 , 424 , 370 , 454 , 486 , 530 , 634 , 747 , 853 , 985 ," 1,127 "," 1,222 "," 1,448 "," 1,612 "," 1,806 "," 2,032 "," 2,274 "," 2,652 "," 3,289 "," 3,853 "," 4,504 "," 5,346 "," 6,355 "," 7,175 "," 8,011 "," 8,689 "," 8,803 "," 8,183 "," 7,994 "," 7,980 "," 8,292 "," 8,966 "," 9,652 "," 10,132 "," 11,197 "," 11,622 "," 12,367 "," 12,426 "," 12,546 "," 12,266 "," 12,563 "," 13,232 "," 12,562 "," 12,622 "," 13,283 "," 13,274 "," 13,424 "," 13,272 "," 12,734 "," 12,580 "," 12,387 "," 12,539 "," 12,416 "
         General Assistance, 9 , 10 , 9 , 9 , 9 , 9 , 19 , 24 , 32 , 41 , 51 , 62 , 79 , 99 , 123 , 152 , 176 , 202 , 224 , 245 , 313 , 354 , 380 , 422 , 473 , 524 , 604 , 665 , 712 , 610 , 625 , 576 , 645 , 656 , 613 , 633 , 625 , 638 , 625 , 464 , 469 , 504 , 498 , 607 , 623 , 638 , 696 , 790 , 917 , 993 , 977 , 875 ," 1,002 ", 914 , 913 , 789 , 794 , 845 , 903 , 806 
         Maternal/Child Health, 4 , 7 , 8 , 10 , 11 , 14 , 20 , 25 , 31 , 38 , 33 , 38 , 43 , 40 , 46 , 51 , 55 , 58 , 62 , 66 , 72 , 72 , 74 , 79 , 76 , 95 , 100 , 110 , 115 , 120 , 121 , 136 , 150 , 153 , 156 , 154 , 154 , 159 , 161 , 167 , 174 , 179 , 184 , 189 , 188 , 186 , 180 , 195 , 211 , 199 , 195 , 188 , 176 , 179 , 189 , 187 , 183 , 187 , 197 , 198 
                          Federal  , 2 , 3 , 4 , 4 , 5 , 8 , 13 , 18 , 22 , 26 , 20 , 26 , 32 , 27 , 33 , 37 , 40 , 42 , 45 , 46 , 47 , 46 , 46 , 50 , 43 , 54 , 53 , 58 , 61 , 64 , 62 , 68 , 74 , 73 , 74 , 70 , 67 , 66 , 67 , 68 , 69 , 70 , 71 , 71 , 71 , 70 , 67 , 66 , 66 , 64 , 64 , 64 , 61 , 59 , 61 , 61 , 61 , 60 , 62 , 62 
                          State and Local, 2 , 3 , 4 , 5 , 6 , 6 , 7 , 7 , 9 , 12 , 12 , 13 , 12 , 13 , 13 , 14 , 15 , 16 , 17 , 21 , 25 , 26 , 28 , 29 , 33 , 41 , 48 , 52 , 55 , 56 , 58 , 68 , 76 , 79 , 83 , 84 , 86 , 92 , 95 , 98 , 105 , 109 , 113 , 117 , 117 , 116 , 113 , 129 , 145 , 135 , 131 , 124 , 115 , 120 , 128 , 126 , 122 , 127 , 135 , 136 
         Vocational Rehabilitation, 8 , 9 , 10 , 11 , 12 , 15 , 23 , 30 , 34 , 39 , 49 , 58 , 59 , 58 , 67 , 73 , 81 , 85 , 86 , 88 , 87 , 85 , 88 , 101 , 111 , 118 , 125 , 138 , 148 , 151 , 150 , 160 , 172 , 175 , 182 , 184 , 184 , 196 , 200 , 199 , 201 , 210 , 219 , 221 , 222 , 220 , 235 , 242 , 246 , 256 , 269 , 267 , 266 , 251 , 229 , 239 , 246 , 238 , 235 , 233 
                          Federal  , 5 , 6 , 6 , 7 , 7 , 10 , 16 , 22 , 26 , 30 , 38 , 45 , 46 , 46 , 52 , 57 , 64 , 66 , 66 , 67 , 67 , 64 , 65 , 74 , 84 , 90 , 95 , 106 , 114 , 117 , 115 , 123 , 131 , 131 , 136 , 138 , 137 , 148 , 151 , 151 , 152 , 160 , 168 , 170 , 171 , 170 , 178 , 181 , 188 , 197 , 210 , 209 , 206 , 195 , 177 , 184 , 190 , 184 , 181 , 180 
                          State and Local, 3 , 4 , 4 , 4 , 5 , 5 , 6 , 8 , 9 , 9 , 11 , 13 , 13 , 13 , 15 , 16 , 18 , 19 , 20 , 21 , 21 , 21 , 24 , 26 , 28 , 29 , 30 , 32 , 34 , 34 , 35 , 37 , 41 , 44 , 46 , 46 , 47 , 48 , 49 , 48 , 49 , 50 , 51 , 52 , 51 , 50 , 57 , 61 , 58 , 59 , 59 , 58 , 60 , 55 , 52 , 55 , 56 , 54 , 54 , 53 
         Other Federal Programs*, 29 , 39 , 49 , 54 , 52 , 52 , 31 , 14 , 18 , 29 , 53 , 93 , 119 , 149 , 204 , 184 , 155 , 179 , 242 , 299 , 419 , 504 , 469 , 550 , 515 , 540 , 558 , 577 , 595 , 590 , 660 , 715 , 782 , 809 , 858 , 874 , 898 , 931 , 979 ," 1,094 "," 1,256 "," 1,529 "," 1,673 "," 1,821 "," 1,913 "," 1,990 "," 1,982 "," 2,188 "," 2,288 "," 2,367 "," 2,533 "," 3,304 "," 3,728 "," 4,030 "," 4,519 "," 5,522 "," 5,775 "," 6,069 "," 6,598 "," 7,102 "
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 355 , 328 , 351 , 410 , 388 , 476 , 454 , 356 , 330 , 330 , 274 , 281 , 355 , 484 , 373 , 717 , 740 , 769 , 829 , 914 , 982 , 743 , 644 , 627 , 785 , 863 , 941 , 970 , 985 ," 1,002 "," 1,003 ", 988 , 983 , 976 , 987 , 953 , 915 ," 1,057 "," 1,015 "," 1,084 "," 1,086 "," 1,143 "," 1,166 "," 1,241 "," 1,235 "
         Other State and Local Programs**, 34 , 41 , 46 , 47 , 61 , 74 , 41 , 17 , 15 , 16 , 13 , 16 , 15 , 16 , 16 , 18 , 18 , 19 , 23 , 21 , 22 , 23 , 24 , 25 , 24 , 24 , 26 , 27 , 30 , 31 , 30 , 32 , 34 , 26 , 25 , 32 , 34 , 36 , 34 , 31 , 30 , 39 , 52 , 53 , 55 , 56 , 58 , 59 , 60 , 61 , 62 , 64 , 66 , 67 , 69 , 72 , 74 , 76 , 79 , 81 
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 584 ," 1,574 "," 1,886 "," 2,089 "," 2,292 "," 2,701 "," 3,120 "," 3,624 "," 4,393 "," 5,250 "," 5,922 "," 6,877 "," 7,864 "," 9,024 "," 10,747 "," 12,677 "," 14,550 "," 16,952 "," 18,591 "," 20,522 "," 23,473 "," 26,971 "," 29,314 "," 33,273 "," 37,451 "," 41,094 "," 44,804 "," 47,927 "," 52,413 "," 56,977 "," 59,828 "," 63,852 "," 66,962 "," 72,101 "," 79,097 "," 86,738 "," 93,868 "," 100,809 "," 110,859 "," 118,164 "," 126,748 "," 133,420 "," 144,301 "," 157,423 "," 164,628 "," 173,246 "," 181,778 "," 191,084 "," 209,961 "," 222,960 "," 231,642 "," 243,926 "," 261,180 "," 280,887 "
Total Dental Services Expenditures," 1,987 "," 2,104 "," 2,225 "," 2,372 "," 2,617 "," 2,819 "," 2,993 "," 3,447 "," 3,707 "," 4,220 "," 4,718 "," 5,239 "," 5,588 "," 6,404 "," 7,152 "," 8,032 "," 9,048 "," 10,135 "," 11,044 "," 11,990 "," 13,327 "," 15,715 "," 16,980 "," 18,300 "," 19,870 "," 21,707 "," 23,179 "," 25,339 "," 27,414 "," 29,397 "," 31,620 "," 33,421 "," 37,156 "," 39,028 "," 41,578 "," 44,634 "," 46,961 "," 50,312 "," 53,630 "," 57,300 "," 62,133 "," 67,709 "," 73,636 "," 76,316 "," 82,189 "," 87,201 "," 91,766 "," 97,732 "," 102,762 "," 103,380 "," 105,899 "," 108,022 "," 109,700 "," 111,376 "," 114,694 "," 119,961 "," 126,197 "," 131,128 "," 137,385 "," 143,191 "
     Out of pocket," 1,906 "," 2,018 "," 2,135 "," 2,275 "," 2,515 "," 2,703 "," 2,826 "," 3,148 "," 3,322 "," 3,789 "," 4,243 "," 4,678 "," 4,947 "," 5,621 "," 6,128 "," 6,517 "," 6,930 "," 7,549 "," 7,918 "," 8,237 "," 8,699 "," 9,957 "," 10,444 "," 10,926 "," 11,516 "," 12,212 "," 12,658 "," 13,118 "," 13,846 "," 14,485 "," 15,316 "," 15,863 "," 17,322 "," 17,727 "," 18,642 "," 19,759 "," 20,551 "," 22,583 "," 24,239 "," 25,645 "," 28,058 "," 29,734 "," 32,553 "," 34,000 "," 36,332 "," 38,509 "," 42,191 "," 44,732 "," 47,625 "," 45,667 "," 45,260 "," 46,140 "," 46,716 "," 46,889 "," 47,148 "," 50,233 "," 52,825 "," 54,543 "," 56,635 "," 60,003 "
     Health Insurance, 64 , 64 , 66 , 71 , 71 , 81 , 146 , 284 , 362 , 403 , 449 , 530 , 604 , 739 , 965 ," 1,433 "," 2,009 "," 2,450 "," 2,966 "," 3,572 "," 4,415 "," 5,489 "," 6,239 "," 7,049 "," 7,994 "," 9,082 "," 10,080 "," 11,736 "," 13,053 "," 14,355 "," 15,725 "," 16,930 "," 19,128 "," 20,554 "," 22,128 "," 24,008 "," 25,479 "," 26,744 "," 28,372 "," 30,579 "," 32,905 "," 36,738 "," 39,804 "," 41,075 "," 44,608 "," 47,391 "," 48,265 "," 51,658 "," 53,781 "," 56,252 "," 59,135 "," 60,414 "," 61,496 "," 62,972 "," 66,074 "," 68,263 "," 71,827 "," 74,999 "," 79,089 "," 81,443 "
          Private Health Insurance, 38 , 37 , 38 , 41 , 43 , 55 , 68 , 104 , 113 , 180 , 212 , 248 , 292 , 378 , 550 , 939 ," 1,486 "," 1,900 "," 2,442 "," 2,995 "," 3,753 "," 4,736 "," 5,582 "," 6,385 "," 7,368 "," 8,376 "," 9,314 "," 10,920 "," 12,200 "," 13,468 "," 14,695 "," 15,667 "," 17,606 "," 18,528 "," 20,032 "," 21,826 "," 23,215 "," 24,357 "," 25,778 "," 27,837 "," 29,830 "," 32,814 "," 35,021 "," 35,865 "," 38,976 "," 41,266 "," 41,704 "," 44,388 "," 45,262 "," 46,109 "," 47,913 "," 48,852 "," 49,537 "," 50,501 "," 52,435 "," 52,795 "," 55,403 "," 57,495 "," 60,646 "," 61,805 "
          Medicare, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 2 , 2 , 2 , 16 , 17 , 34 , 41 , 55 , 75 , 91 , 102 , 82 , 85 , 86 , 79 , 70 , 71 , 86 , 103 , 164 , 221 , 296 , 242 , 294 , 368 , 479 , 408 , 459 , 513 , 867 ," 1,201 "," 1,930 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 43 , 138 , 201 , 168 , 162 , 179 , 183 , 228 , 295 , 364 , 390 , 424 , 392 , 440 , 503 , 581 , 485 , 501 , 456 , 510 , 554 , 591 , 617 , 638 , 756 , 945 ," 1,196 "," 1,675 "," 1,741 "," 1,807 "," 1,872 "," 1,974 "," 2,129 "," 2,180 "," 2,400 "," 3,090 "," 3,709 "," 4,035 "," 4,264 "," 4,579 "," 4,796 "," 5,229 "," 6,253 "," 7,624 "," 8,381 "," 8,454 "," 8,607 "," 8,873 "," 9,999 "," 11,482 "," 12,276 "," 12,854 "," 13,274 "," 13,719 "
                          Federal  , -   , -   , -   , -   , -   , -   , 21 , 67 , 104 , 93 , 87 , 101 , 100 , 120 , 166 , 200 , 233 , 241 , 217 , 247 , 275 , 317 , 264 , 273 , 249 , 277 , 304 , 324 , 345 , 359 , 425 , 529 , 684 , 950 , 960 , 994 ," 1,042 "," 1,101 "," 1,189 "," 1,226 "," 1,360 "," 1,743 "," 2,088 "," 2,380 "," 2,502 "," 2,628 "," 2,745 "," 3,006 "," 3,756 "," 5,165 "," 5,771 "," 5,198 "," 5,001 "," 5,141 "," 6,230 "," 7,575 "," 8,156 "," 8,512 "," 8,661 "," 9,103 "
                          State and Local, -   , -   , -   , -   , -   , -   , 22 , 71 , 98 , 75 , 75 , 77 , 83 , 109 , 128 , 164 , 158 , 184 , 175 , 192 , 227 , 264 , 221 , 228 , 207 , 233 , 250 , 267 , 272 , 279 , 331 , 417 , 512 , 724 , 782 , 813 , 830 , 874 , 940 , 954 ," 1,040 "," 1,347 "," 1,622 "," 1,655 "," 1,762 "," 1,951 "," 2,051 "," 2,222 "," 2,497 "," 2,459 "," 2,609 "," 3,256 "," 3,606 "," 3,732 "," 3,769 "," 3,907 "," 4,120 "," 4,342 "," 4,613 "," 4,616 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32 , 146 , 233 , 328 , 452 , 391 , 401 , 463 , 488 , 590 , 702 , 764 ," 1,039 "," 1,138 "," 1,319 "," 1,501 "," 1,470 "," 1,614 "," 1,778 "," 2,019 "," 2,162 "," 2,276 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22 , 103 , 165 , 234 , 324 , 283 , 288 , 331 , 348 , 421 , 502 , 544 , 726 , 795 , 920 ," 1,032 "," 1,014 "," 1,197 "," 1,641 "," 1,876 "," 1,988 "," 2,042 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 44 , 68 , 94 , 128 , 108 , 113 , 132 , 141 , 169 , 200 , 220 , 313 , 343 , 399 , 470 , 456 , 418 , 137 , 143 , 174 , 235 
         Department of Defense, 25 , 26 , 27 , 29 , 27 , 26 , 34 , 41 , 44 , 46 , 50 , 60 , 78 , 80 , 76 , 77 , 77 , 81 , 87 , 97 , 111 , 127 , 142 , 146 , 157 , 183 , 200 , 213 , 225 , 239 , 263 , 292 , 294 , 305 , 303 , 309 , 305 , 309 , 321 , 323 , 345 , 409 , 530 , 696 , 870 , 952 ," 1,105 "," 1,226 "," 1,278 "," 1,381 "," 1,488 "," 1,596 "," 1,590 "," 1,520 "," 1,641 "," 1,723 "," 1,656 "," 1,614 "," 1,561 "," 1,368 "
         Department of Veterans Affairs, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 9 , 26 , 43 , 51 , 52 , 44 , 53 , 56 , 44 , 45 , 40 , 49 , 45 , 30 , 18 , 13 , 12 , 11 , 10 , 10 , 8 , 8 , 10 , 14 , 12 , 11 , 12 , 12 , 12 , 11 , 10 , 11 , 12 , 13 , 17 , 26 , 44 , 68 , 62 , 65 , 77 , 73 , 80 , 75 , 99 , 121 , 191 , 200 , 149 , 246 , 345 
     Other Third Party Payers and Programs, 17 , 22 , 24 , 26 , 31 , 34 , 20 , 15 , 23 , 28 , 26 , 31 , 36 , 45 , 59 , 83 , 109 , 136 , 160 , 182 , 213 , 268 , 297 , 325 , 360 , 413 , 440 , 484 , 514 , 556 , 579 , 628 , 706 , 747 , 808 , 867 , 931 , 985 ," 1,019 "," 1,076 "," 1,170 "," 1,238 "," 1,279 "," 1,241 "," 1,250 "," 1,301 "," 1,311 "," 1,341 "," 1,357 "," 1,460 "," 1,504 "," 1,468 "," 1,488 "," 1,515 "," 1,472 "," 1,466 "," 1,545 "," 1,586 "," 1,662 "," 1,746 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, 1 , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 3 , 5 , 6 , 7 , 8 , 14 , 22 , 36 , 54 , 69 , 88 , 108 , 127 , 165 , 193 , 215 , 249 , 299 , 332 , 381 , 410 , 448 , 459 , 491 , 550 , 583 , 632 , 685 , 761 , 803 , 846 , 911 , 997 ," 1,045 "," 1,032 ", 998 , 985 ," 1,027 "," 1,021 "," 1,023 "," 1,005 "," 1,051 "," 1,046 "," 1,054 "," 1,061 "," 1,106 "," 1,072 "," 1,074 "," 1,158 "," 1,213 "," 1,266 "," 1,340 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 , 14 , 16 , 19 , 21 , 22 , 25 , 25 , 27 , 31 , 35 , 33 , 34 , 37 , 34 , 40 , 54 , 65 , 67 , 69 , 78 , 76 , 82 , 83 , 87 , 99 , 112 , 110 , 120 , 129 , 133 , 142 , 147 , 157 , 174 , 189 , 192 , 200 , 198 , 204 , 207 , 213 , 214 , 222 , 229 
         Workers' Compensation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         General Assistance, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 3 , 8 , 9 , 11 , 13 , 16 , 19 , 23 , 24 , 28 , 37 , 37 , 37 , 47 , 60 , 62 , 64 , 62 , 60 , 55 , 47 , 46 , 52 , 58 , 60 , 64 , 70 , 79 , 76 , 65 , 70 , 61 , 46 , 41 , 45 , 100 , 86 , 100 , 105 , 113 , 134 , 154 , 198 , 231 , 180 , 176 , 159 , 160 , 153 , 143 , 128 , 141 , 143 
         Maternal/Child Health, 2 , 3 , 3 , 3 , 2 , 2 , 3 , 6 , 8 , 9 , 8 , 10 , 11 , 10 , 11 , 12 , 13 , 14 , 15 , 16 , 18 , 18 , 18 , 18 , 17 , 20 , 21 , 22 , 22 , 22 , 21 , 23 , 26 , 26 , 28 , 28 , 28 , 30 , 30 , 32 , 34 , 35 , 36 , 36 , 36 , 36 , 34 , 38 , 41 , 38 , 37 , 34 , 32 , 32 , 33 , 32 , 31 , 32 , 34 , 34 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 4 , 5 , 6 , 5 , 6 , 8 , 6 , 8 , 9 , 9 , 10 , 10 , 11 , 11 , 11 , 11 , 11 , 9 , 11 , 10 , 11 , 11 , 11 , 10 , 11 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 12 , 13 , 13 , 13 , 13 , 12 , 12 , 12 , 12 , 11 , 11 , 11 , 10 , 10 , 10 , 10 , 10 , 9 , 10 , 10 
                          State and Local, 1 , 2 , 2 , 2 , 1 , 1 , 1 , 2 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 7 , 7 , 7 , 7 , 8 , 9 , 10 , 11 , 11 , 11 , 11 , 12 , 14 , 15 , 15 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 23 , 23 , 23 , 23 , 26 , 29 , 26 , 26 , 24 , 21 , 22 , 23 , 22 , 22 , 22 , 24 , 24 
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, 7 , 10 , 11 , 13 , 14 , 13 , 7 , 3 , 3 , 3 , 1 , 2 , 2 , 3 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , 20 , 19 , 2 , -   , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, 6 , 8 , 8 , 9 , 13 , 16 , 7 , 1 , 2 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 43 , 138 , 201 , 168 , 162 , 179 , 183 , 228 , 295 , 364 , 390 , 424 , 392 , 440 , 503 , 581 , 485 , 501 , 456 , 511 , 555 , 593 , 619 , 640 , 758 , 961 ," 1,213 "," 1,709 "," 1,782 "," 1,861 "," 1,947 "," 2,066 "," 2,262 "," 2,409 "," 2,719 "," 3,504 "," 4,240 "," 4,496 "," 4,736 "," 5,129 "," 5,387 "," 5,982 "," 7,176 "," 8,685 "," 9,661 "," 9,886 "," 10,293 "," 10,852 "," 11,877 "," 13,554 "," 14,567 "," 15,741 "," 16,637 "," 17,925 "
Total Other Professional Services Expenditures, 392 , 409 , 429 , 451 , 486 , 533 , 572 , 608 , 644 , 678 , 726 , 793 , 893 ," 1,022 "," 1,163 "," 1,337 "," 1,564 "," 2,058 "," 2,403 "," 2,847 "," 3,478 "," 4,273 "," 4,917 "," 5,651 "," 7,328 "," 8,113 "," 9,284 "," 11,329 "," 13,722 "," 14,499 "," 17,278 "," 18,559 "," 20,860 "," 22,956 "," 23,974 "," 26,671 "," 28,857 "," 31,275 "," 33,424 "," 34,614 "," 36,647 "," 40,266 "," 43,338 "," 46,523 "," 50,211 "," 52,795 "," 55,264 "," 60,055 "," 64,486 "," 67,037 "," 69,889 "," 72,794 "," 76,429 "," 78,047 "," 82,383 "," 87,369 "," 92,062 "," 96,687 "," 103,891 "," 110,630 "
